Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Carryout,3010,50085.29,17855.69,67940.98,3114.51
Curbside Pickup,5,84.0,25.0,109.0,5.05
DoorDash - Delivery,3,170.98,0.0,170.98,10.26
DoorDash - Takeout,144,4924.21,0.0,4924.21,293.42
Delivery - Bite Sqd,9,138.75,146.25,285.0,7.78
Dine In,75190,3330362.54,178460.93,3509330.63,255876.6
Catering,5,1411.0,745.0,2156.0,89.88
Catering - EzCater,2,20.0,0.0,20.0,1.2
Delivery - DoorDash,561,20230.19,0.0,20230.19,1198.6
Uber Eats - Takeout,59,1955.93,0.0,1955.93,117.31
Delivery - Uber Eats,70,2405.6,0.0,2405.6,152.24
Online Ordering,1403,37789.8,398.61,38188.41,2266.63
Uber Eats - Delivery,131,5542.67,0.0,5542.67,340.45
Total,80592,3455120.96,197631.48,3653259.60,263473.93
