Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,8565,240483.06,2227.01,236.5,16131.64,-31.0,0.0,2227.01,242915.57,1.1
Credit/debit,,96491,3766508.48,760991.68,4537.25,266802.47,-630.21,-146.03,760845.65,4531407.20,21.6
Credit/debit,AMEX,17780,757427.0,159792.91,969.26,54067.96,-90.0,-90.0,159702.91,918099.17,22.7
Credit/debit,DISCOVER,2415,88661.9,18022.95,123.73,6302.72,0.0,0.0,18022.95,106808.58,21.9
Credit/debit,MASTERCARD,16652,655292.97,131910.05,861.65,46184.87,-19.87,0.0,131910.05,788044.80,21.6
Credit/debit,VISA,59644,2265126.61,451265.77,2582.61,160246.92,-520.34,-56.03,451209.74,2718454.65,21.3
Gift Card,,1416,23850.72,405.46,41.17,1692.23,0.0,0.0,405.46,24297.35,2.0
Other,,1041,39987.68,40.0,0.0,2262.72,0.0,0.0,40.00,40027.68,0.1
Other,Delivery - Door Dash,757,28766.45,0.0,0.0,1611.65,0.0,0.0,0.00,28766.45,0.0
Other,Delivery - Uber Eats,277,11131.7,40.0,0.0,645.89,0.0,0.0,40.00,11171.70,0.4
Other,Event Deposit Redeem,1,5.0,0.0,0.0,0.0,0.0,0.0,0.00,5.00,0.0
Other,Rekey (AMEX),3,-38.51,0.0,0.0,-2.96,0.0,0.0,0.00,-38.51,0.0
Other,Rekey (MC/V/D),1,-16.73,0.0,0.0,-1.28,0.0,0.0,0.00,-16.73,0.0
Other,Uber Eats,2,139.77,0.0,0.0,9.42,0.0,0.0,0.00,139.77,0.0
Total,,107513,4070829.94,763664.15,4814.92,286889.06,-661.21,-146.03,763518.12,4838647.80,20.1
