Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Liquor,78936.5,709078.1,40980.18,30.0,750088.28,68387.7
Draft Beer,139538.5,793536.1,26589.26,8.0,820133.36,76136.8
Bottle Beer,22082.0,117693.92,4364.31,4.0,122062.23,11357.94
Wine,9454.5,84270.85,3002.81,0.0,87273.66,8143.74
Shareables,39297.0,417842.17,20358.26,11.0,438211.43,25067.51
Wings,23487.0,353344.87,16387.77,27.0,369759.64,21197.24
Tacos,9905.0,116345.67,9261.68,0.0,125607.35,6971.92
Baskets,14315.0,206870.64,13035.28,0.0,219905.92,12400.92
Burgers,18836.0,254083.07,15969.99,0.0,270053.06,15247.04
Sandwiches,18684.0,246337.96,18367.22,25.5,264730.68,14762.07
Salads,8505.0,100926.24,6899.33,10.5,107836.07,6055.93
Sides,12612.0,46262.5,3978.64,7.75,50248.89,2754.78
Desserts,2321.0,19778.48,2636.4,0.0,22414.88,1185.26
Local Favorites,2000.67,14529.92,2074.61,0.0,16604.53,871.99
N/A Beverage,20527.0,67978.9,1514.25,0.0,69493.15,4112.76
Add-ons,11920.0,7896.93,661.51,1.0,8559.44,464.43
Retail,257.0,3643.46,136.97,0.0,3780.43,158.6
Breakfast,1472.0,16445.1,1523.65,0.0,17968.75,986.76
Catering,75.0,3399.0,305.0,0.0,3704.0,203.94
Custom Amount Refunds,0.0,-382.41,0.0,382.41,0.0,0.0
Entrees,29.0,226.0,9.0,0.0,235.0,13.56
Food,2594.0,7739.4,1671.31,0.0,9410.71,453.6
LTO,849.0,9533.05,1219.45,0.0,10752.5,571.91
No Sales Category Assigned,21.0,115.49,0.11,0.0,115.6,5.1
Pizza,11776.0,156001.68,15444.08,0.0,171445.76,9357.96
Total,449494.17,3753497.09,206391.07,507.16,3960395.32,286869.46
