MENU_ITEM_NAME,SUB_ITEM_QUANTITY
DRAFT,72513.50
Side of Ketchup*,27816.00
DRAFT 16,26328.00
French Fries,18308.00
Ketchup,17141.00
French Fries*,16144.00
Side of Buttermilk Ranch Dressing*,13695.00
Regular Crust,7127.67
Cheddar Cheese*,6976.00
TASTE,6312.00
Medium Well*,5985.00
Medium Well,5339.00
Tater Tots*,5249.00
DRAFT 10,4796.00
Ranch Dressing,4311.00
DRAFT 20,4385.00
No Tomato*,4333.00
Side of Bleu Cheese Dressing*,4279.00
Cheddar Cheese,4014.00
Buttermilk Ranch Sauce,3589.00
Lemon Pepper Dry Rub NC*,3452.00
DOUBLE,3504.00
Buffalo Wing Sauce NC,3328.00
Tater Tots,3332.00
Half & Half*,3255.00
Lemon Pepper Dry Rub,2968.00
Soda Water,2938.00
Flour Tortillas*,2843.00
Rocks,2822.00
Flour Tortillas,2786.00
No Pickle Chips*,2669.00
Side of Queso*,2549.00
Bleu Cheese Dressing,2427.00
Half & Half,2401.00
Queso,2368.00
No Jalapeno Slices*,2393.00
SAMPLE,2327.00
Buffalo Wing Sauce NC*,2135.00
Side of Spicy Mustard*,2029.00
Side Gilroy Garlic Fries*,2049.00
Coke,2047.00
To Go,1983.00
Side of Malt Vinegar Aioli*,1964.00
Side of Chili Crisp Sauce*,1854.00
Medium,1839.00
Cold Glass,1791.00
Medium*,1753.00
Corn Tortillas*,1655.00
Hot Wing Sauce NC*,1591.00
Guava Margarita (Flight),1570.00
Prickly Pear Margarita (Flight),1550.00
Side of Boom Boom Sauce*,1553.00
Classic Margarita (Flight),1544.00
Lime Wedge*,1498.00
Corn Tortillas,1452.00
TO GO,1385.00
No Red Onion*,1346.00
Spicy Mustard Sauce,1296.00
Shredded Pepper Jack Cheese*,1322.00
Chipotle Pineapple Margarita (Flight),1244.00
Onion Rings*,1243.00
No Pickled Red Onion*,1245.00
Asian Chili Crisp Sauce NC*,1208.00
Well Done,1218.00
Sweet Baby Rays BBQ Sauce,1188.00
Side of Cocktail*,1177.00
Garlic Parmesan Sauce NC*,1160.00
Side of Sweet Baby Rays BBQ Sauce*,1170.00
Ragin Cajun Dry Rub NC,1082.00
Ragin Cajun Dry Rub NC*,1061.00
Malt Vinegar Aioli Sauce,1052.00
Shredded Pepper Jack Cheese,1050.00
Cauliflower Crust*,1027.00
Tonic,1020.00
Side Caesar Salad*,1007.00
Korean BBQ Wing Sauce NC,978.00
No Romaine Leaf*,995.00
Side of Honey Mustard*,955.00
Lime Wedge,956.00
No Mayonnaise*,937.00
10 Hand-Breaded Fried Shrimp,935.00
Sweet Heat BBQ Wing Sauce NC,892.00
Add Whole Milk Mozzarella,902.00
No Bacon*,899.00
Side Brussels Sprouts,894.00
Neat,918.00
Brown Sugar Bourbon NC*,880.00
Side of Sweet Heat Sauce*,881.00
Side Tap Salad*,875.00
Honey Mustard,866.00
Brown Sugar Bourbon NC,857.00
Add Whole Milk Mozzarella (Pizza),842.00
Add Vine-Ripened Tomato Sauce,826.00
No Bacon Bits*,803.00
Teriyaki Sauce NC*,765.00
Add Vine Ripened Tomato Sauce*(Pizza),768.00
Side of Poblano Sauce*,734.00
Cranberry Juice,750.00
Balsamic Vinaigrette*,727.00
Cocktail Sauce*,721.00
Side of Poblano,687.00
Diet Coke,711.00
Chilled,870.00
Extra Crispy*,692.00
Sweet Baby Rays BBQ Wing Sauce NC,693.00
No Onion Cilantro Mix*,687.00
Nashville Hot Dry Rub NC,678.00
Shot,853.00
No Bacon Slices,666.00
Extra Crispy,650.00
Buttermilk Ranch 1.5oz*,641.00
Buttermilk Ranch*,642.00
Togo,648.00
Side Caesar Salad,636.00
TOGO,631.00
Side of Ranch Dressing*,606.00
Nashville Hot Dry Rub NC*,620.00
