SALES_CATEGORY_NAME,MENU_ITEM_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_GROSS_AMOUNT,DISCOUNT_AMOUNT,ITEM_NET_AMOUNT
Draft Beer,Creature Comforts Tropicalia,5.94,8587.00,50988.00,1592.58,49395.42
Draft Beer,Michelob Ultra,4.73,8225.00,38904.32,1227.90,37676.42
Burgers,All American Pub Burger 6oz,14.55,8011.00,116523.16,8393.33,108129.83
Wings,Wing Basket,16.00,6649.00,106370.53,6397.67,99972.86
Liquor,Titos Vodka,8.32,6685.00,55631.50,2053.96,53577.54
Wings,10 Chicken Wings,16.55,5982.00,99012.26,4923.02,94073.24
Baskets,Chicken Tenders,14.66,4680.00,68589.45,5113.62,63475.83
Draft Beer,Miller Lite,4.64,4479.00,20780.49,852.94,19927.55
Draft Beer,Sierra Nevada Hazy Little Thing,4.93,4452.00,21953.00,966.89,20986.11
Draft Beer,Guinness Draught,6.68,4414.00,29503.00,918.62,28584.38
Bottle Beer,Bud Light btl,4.00,4177.00,16708.00,246.32,16457.68
N/A Beverage,Coke,3.50,4131.00,14465.83,160.80,14305.03
Shareables,Pretzels,9.16,3729.00,34148.13,2733.31,31414.82
Sandwiches,Crispy Chicken Sandwich,14.27,3814.00,54412.76,4059.40,50353.36
Pizza,Hot Honey Pepperoni Pizza,14.43,3696.00,53333.00,3149.55,50183.45
Liquor,Tap Out Margarita,8.86,3704.00,32806.86,1258.67,31548.19
Draft Beer,Yuengling Lager,4.63,3645.00,16875.01,672.75,16202.26
Sides,Side Crinkle Cut French Fries,3.81,3488.00,13291.14,1116.07,12175.07
Liquor,Jameson Irish Whiskey,8.27,3932.00,32504.00,3182.74,29313.26
Wings,6 Chicken Wings,11.04,3197.00,35301.48,1423.12,33867.36
Draft Beer,Cigar City Jai Alai IPA,6.67,3185.00,21257.00,535.58,20721.42
N/A Beverage,Diet Coke,3.50,3108.00,10880.81,132.77,10748.04
Draft Beer,Sweetwater 420 Extra Pale Ale,6.27,3067.00,19244.20,324.88,18919.32
Baskets,Fish & Chips,16.32,3051.00,49806.35,1921.75,47884.60
Draft Beer,Creature Comforts Classic City Lager,5.75,2854.00,16418.00,489.16,15928.84
Salads,Caesar Salad w Chicken,11.70,2810.00,32884.00,2295.98,30588.02
Sandwiches,Brisket Grilled Cheese,14.69,2802.00,41170.89,3594.39,37562.00
Draft Beer,Blue Moon Belgian White,6.55,2716.00,17799.00,319.99,17479.01
Liquor,Lunazul Blanco Tequila,6.58,2874.00,18922.00,2767.93,16140.07
Draft Beer,Monday Night Taco Tuesday,5.42,2553.00,13835.00,387.90,13447.10
Sandwiches,Chicken Club Wrap,13.23,2549.00,33724.83,3632.66,30092.17
Draft Beer,Stella Artois,5.78,2545.00,14701.00,303.73,14397.27
N/A Beverage,Sweet Tea,3.20,2466.00,7887.22,85.34,7801.88
Sandwiches,Asian BBQ Crispy Chicken Sandwich,15.18,2485.00,37711.50,957.67,36753.83
Draft Beer,Modelo Especial,5.65,2486.00,14048.00,224.70,13823.30
Shareables,Boom Boom Shrimp,14.58,2376.00,34642.63,1140.16,33502.47
Draft Beer,Bells Two Hearted IPA,6.57,2322.00,15262.00,336.31,14925.69
Burgers,Sweet Heat BBQ Bacon Burger 6oz,16.05,2302.00,36937.07,2072.50,34864.57
Shareables,Cheese Curds,11.11,2112.00,23457.29,711.63,22745.66
Tacos,2 Steak Tacos,14.15,2077.00,29381.57,3333.24,26048.33
Bottle Beer,Miller Lite btl,4.15,2000.00,8307.00,102.61,8204.39
Draft Beer,Bud Light,4.72,2003.00,9457.50,351.94,9105.56
Draft Beer,Coors Light,4.77,1996.00,9518.00,183.41,9334.59
Bottle Beer,Michelob Ultra Btl,4.98,2005.00,9990.00,366.77,9623.23
Draft Beer,Parish Ghost in the Machine,6.88,1969.00,13555.00,354.07,13200.93
Wings,15 Chicken Wings,23.24,1889.00,43908.99,1170.40,42738.59
Tacos,2 Grilled Poblano Chicken Tacos,11.01,1943.00,21397.25,2243.32,19153.93
Liquor,Jack Daniels Whiskey,7.50,1970.50,14788.00,1356.31,13423.69
Pizza,Craft Your Masterpiece Pizza,14.88,1861.00,27689.71,4501.05,23188.66
Shareables,Sirloin Steak Nachos,18.63,1788.50,33328.35,1688.70,31639.65
Liquor,HH Green Tea,4.51,2406.00,10850.25,1613.86,9236.39
Draft Beer,Founders Solid Gold,5.37,1798.00,9658.00,752.22,8905.78
Draft Beer,Weihenstephaner Hefeweissbier,8.12,1794.00,14562.00,321.44,14240.56
Tacos,2 Blackened Cod Tacos,12.91,1740.00,22463.23,1382.22,21081.01
Draft Beer,Golden Road Mango Cart,6.02,1720.00,10352.00,374.44,9977.56
Sides,Side Caesar,4.28,1701.00,7283.49,619.64,6663.85
Add-ons,Side of Buttermilk Ranch Dressing*,0.50,1686.00,843.02,12.65,830.37
Shareables,Hand Breaded Pickle Chips,9.94,1553.00,15434.10,396.29,15037.81
Tacos,2 Smoked Brisket Tacos,14.59,1631.00,23797.05,940.28,22856.77
Draft Beer,Allagash White,6.61,1583.00,10456.00,274.01,10181.99
Liquor,Spicy Rita Cocktail,9.65,1523.00,14691.02,354.42,14336.60
Shareables,Pork Potstickers,12.48,1493.00,18625.23,716.64,17908.59
Burgers,All American Cheeseburger (Lunch),10.33,1540.00,15903.50,412.63,15490.87
N/A Beverage,Sprite,3.50,1514.00,5306.12,65.04,5241.08
Liquor,Texas Mule,9.69,1514.00,14668.00,986.53,13681.47
N/A Beverage,Lemonade,3.16,1511.00,4771.12,70.73,4700.39
Shareables,Mac & Cheese Bites,8.63,1436.00,12390.14,407.49,11982.65
Shareables,Chicken Nachos,15.59,1393.00,21714.74,1039.34,20675.40
Liquor,Raspberry Lemon Drop Martini Cocktail,11.51,1431.00,16469.50,341.83,16127.67
Pizza,White Caprese Pizza,14.27,1392.00,19861.51,3159.83,16701.68
Shareables,Buffalo Cauliflower,10.03,1356.00,13596.52,590.79,13005.73
Draft Beer,Mystery Draft,3.00,1344.00,4034.00,84.87,3949.13
Salads,Tap Salad with Chicken,13.20,1332.00,17580.40,1164.59,16415.81
N/A Beverage,Water,0.00,1345.00,0.00,0.00,0.00
Pizza,Brass Tap Classic Pizza,14.29,1310.00,18714.50,930.51,17783.99
Pizza,Carnivore Pizza,16.17,1286.00,20790.97,1488.65,19302.32
Sides,Side Tater Tots,3.85,1256.00,4831.21,504.43,4323.03
Shareables,Smoked Pork Quesadilla,11.19,1269.00,14195.65,2124.18,12071.47
Liquor,Smoked Old Fashioned,13.63,1237.00,16861.95,184.61,16677.34
Shareables,Loaded Tots,10.77,1186.00,12768.67,433.32,12335.35
Liquor,Espresso Martini Cocktail,13.01,1259.00,16381.50,824.22,15557.28
Baskets,Shrimp Platter,16.44,1214.00,19956.75,712.19,19244.56
Sides,Side Tap Salad,4.17,1162.00,4850.10,286.05,4560.05
Desserts,Chocolate Chip Lava Cookie & Ice Cream,9.31,1140.00,10617.40,1742.24,8875.16
Shareables,Gilroy Garlic Fries,8.01,1049.00,8406.65,163.73,8242.92
Liquor,Watermelon Margarita Cocktail,12.53,1113.00,13948.50,418.70,13529.80
Wings,Wing Basket (Lunch),10.38,1113.00,11557.50,260.10,11297.40
Liquor,Peach Bourbon Smash Cocktail,11.61,1105.00,12824.50,347.60,12476.90
Sandwiches,NEW - Chicken Bacon Ranch Sub,12.82,1043.00,13372.20,1386.28,11985.92
Shareables,NEW - Mac & Cheese Bites,8.52,1015.00,8652.53,609.71,8042.82
Liquor,Buffalo Trace,9.25,1065.00,9849.50,153.57,9695.93
Sides,Side Brussels Sprouts,4.60,1009.00,4637.86,363.80,4274.06
Burgers,HH Cheeseburger & Fries,9.17,1021.00,9360.00,704.81,8655.19
Shareables,Chips & Queso,9.54,966.00,9219.35,288.10,8931.25
Shareables,BBQ Pork Queso Mac & Cheese Bites,11.67,953.00,11120.33,284.34,10835.99
Shareables,Trio Dips & Chips,11.51,936.00,10774.57,124.21,10650.36
Liquor,HH Wheatley Vodka,6.42,1005.00,6456.00,132.58,6323.42
Draft Beer,Mercier Orchards Grumpy Granny,7.12,987.00,7032.00,274.31,6757.69
Draft Beer,Three Taverns A Night on Ponce,6.42,964.00,6184.97,139.41,6045.56
Draft Beer,Angry Orchard Crisp Apple Cider,6.60,981.00,6472.00,328.31,6143.69
Bottle Beer,Corona Extra btl,5.90,975.00,5754.00,179.29,5574.71
Draft Beer,Fire Maker Hazed & Blazed,6.30,957.00,6028.00,151.35,5876.65
Sandwiches,NEW - Italian Sub,13.28,955.00,12685.18,1354.43,11330.75
Baskets,Fried Shrimp,15.97,949.00,15151.06,1590.91,13560.15
Shareables,Loaded Fries,10.52,932.00,9808.47,562.44,9246.03
Sandwiches,NEW - Asian BBQ Crispy Chicken Sandwich,14.79,943.00,13950.05,1399.29,12550.76
Wine,Kendall Jackson Chardonnay 6,10.29,906.00,9321.00,231.88,9089.12
Liquor,Jack Daniels Tennessee Honey Whiskey,7.15,950.00,6791.00,797.83,5993.17
Wine,Oyster Bay Sauvignon Blanc 6,10.50,901.00,9460.50,205.72,9254.78
Liquor,Strawberry Basil Mule Cocktail,10.50,896.00,9410.01,501.32,8908.69
Shareables,Crispy Brussels Sprouts,10.02,842.00,8439.96,240.52,8199.44
Sides,Side Gilroy Garlic Fries,4.00,854.00,3417.00,146.08,3270.92
Burgers,Avocado Burger 6oz,15.76,853.00,13441.00,1107.19,12333.81
Draft Beer,Original Sin Black Widow Blackberry Cider,6.76,850.00,5744.00,90.77,5653.23
Draft Beer,Wicked Weed Pernicious,6.79,845.00,5741.00,127.00,5614.00
Bottle Beer,Heineken Lager btl,5.64,850.00,4794.00,67.10,4726.90
Burgers,Guac Burger 6oz,16.05,841.00,13499.72,512.60,12987.12
Baskets,Boneless Wings Basket,14.48,825.00,11943.75,1142.09,10801.66
Baskets,New - Hand-Breaded Boneless Wings,12.11,813.00,9849.25,1191.20,8658.05
Add-ons,Side of Small Ranch Dressing,0.50,814.00,407.40,9.45,397.95
Liquor,NEW - Margarita Flight,15.98,800.00,12785.99,208.63,12577.36
Pizza,BBQ Chicken & Bacon Pizza,14.47,782.00,11317.31,1291.27,10026.04
Desserts,Bourbon Maple Butter Cake,10.01,784.00,7846.97,642.40,7204.57
Liquor,Jack Daniels Fire,6.28,800.00,5023.00,263.16,4759.84
Liquor,Margarita Flight,16.02,752.00,12049.99,207.98,11842.01
Liquor,HH Fireball Shot,4.50,766.00,3447.00,163.59,3283.41
Liquor,HH Drink of the Week,7.05,753.00,5310.00,207.91,5102.09
Liquor,Drink of the Week 1,12.90,717.00,9250.00,543.48,8706.52
Shareables,NEW - BBQ Pork Queso Mac & Cheese Bites,11.56,706.00,8163.21,513.24,7638.97
Liquor,Wheatley Vodka,8.17,806.00,6587.50,573.26,6014.24
Bottle Beer,High Noon Pineapple btl,6.85,718.00,4915.00,118.32,4796.68
Sandwiches,Crispy Chicken Sandwich (Lunch),10.48,719.00,7533.25,99.11,7434.14
Sandwiches,Ribeye Steak Sandwich,18.01,716.00,12892.40,444.61,12447.79
Liquor,Jagermeister,7.12,857.00,6101.50,481.87,5619.63
Liquor,Grey Goose Vodka,10.15,711.00,7220.00,348.85,6871.15
Liquor,Long Island Iced Tea,14.03,705.00,9892.50,246.83,9645.67
Liquor,NEW - Smoked Old Fashioned,12.99,691.00,8972.96,295.43,8677.53
Shareables,HH Pretzels,8.01,664.00,5315.54,402.70,4912.84
Liquor,Crown Royal Whiskey,9.34,711.00,6639.50,93.85,6545.65
Liquor,HH Jack Daniels,6.39,696.00,4444.00,102.68,4341.32
Liquor,Ranch Water Cocktail,9.01,690.00,6217.00,178.66,6038.34
Draft Beer,SweetWater Tropical High Hazy IPA,5.55,673.00,3738.00,57.53,3680.47
Draft Beer,Hofbrau Dunkel,6.26,664.00,4158.00,82.48,4075.52
Shareables,HH Chicken Quesadilla,9.01,686.00,6179.50,1031.93,5147.57
Liquor,Strawberry Coconut Mojito Cocktail,12.47,644.00,8033.00,260.33,7772.67
Liquor,Makers Mark Bourbon,11.23,666.00,7479.00,1737.75,5741.25
Draft Beer,New Realm Psychedelic Rabbit,6.10,656.00,4003.00,162.12,3840.88
Draft Beer,Warsteiner Premium Dunkel,6.16,638.00,3929.00,55.42,3873.58
Shareables,NEW - Hand breaded Pickle Chips,10.04,629.00,6315.48,234.56,6080.92
Sides,Side Buff Cauliflower,4.00,632.00,2525.60,276.50,2249.10
Burgers,Impossible Burger,17.50,633.00,11078.26,536.28,10541.98
Liquor,Fireball Whiskey,6.14,670.00,4115.00,591.22,3523.78
Draft Beer,Yazoo Gerst Amber Ale,6.68,626.00,4183.00,79.90,4103.10
Draft Beer,Tucker Georgia Red Lager,5.43,613.00,3328.00,53.14,3274.86
N/A Beverage,Coke Zero,3.20,608.00,1947.00,15.38,1931.62
Liquor,The Weekender Cocktail,12.00,606.00,7270.00,94.03,7175.97
Wings,6 Boneless Wings,11.08,601.00,6660.00,515.12,6144.88
Draft Beer,Lexington Kentucky Bourbon Barrel Ale,6.57,599.00,3938.00,85.47,3852.53
Salads,Tap Salad with Steak,15.70,596.00,9359.80,687.02,8672.78
Burgers,The Biggy BBQ Mac Burger,17.35,599.00,10395.00,324.44,10070.56
Liquor,Bacardi Silver Rum,6.39,600.00,3836.00,186.48,3649.52
Liquor,Tiki Man Cocktail,11.10,588.00,6529.00,343.61,6185.39
Liquor,Repo Rita Cocktail,12.02,580.00,6972.50,226.36,6746.14
Shareables,Brussels Sprouts,10.03,549.00,5507.99,205.60,5302.39
Draft Beer,Atlanta Hard Cherry Pie,5.15,571.00,2941.00,231.73,2709.27
Tacos,2 Chicken Tacos (Lunch),10.04,560.00,5625.00,177.75,5447.25
Draft Beer,Monday Night Dr Robot,6.38,553.00,3529.00,171.64,3357.36
Sandwiches,Chicken Bacon Ranch Sub,12.83,546.00,7004.00,298.76,6705.24
Draft Beer,Kona Big Wave Golden Ale,5.55,530.00,2941.00,176.90,2764.10
Liquor,Teremana Reposado Tequila,11.19,588.00,6581.00,537.65,6043.35
Draft Beer,Firewater Hop Chief,7.03,534.00,3753.00,138.22,3614.78
Shareables,HH Boom Boom Shrimp,9.00,509.00,4581.02,131.44,4449.58
Liquor,Casamigos Blanco Tequila,11.27,571.00,6434.50,452.87,5981.63
Add-ons,Side of Bleu Cheese Dressing*,0.50,521.00,260.70,3.65,257.05
Shareables,Onion Rings,9.94,501.00,4978.58,155.37,4823.21
Baskets,Steak Frites,23.63,516.00,12195.50,512.56,11682.94
Draft Beer,Terrapin Los Bravos,6.85,499.00,3418.00,85.70,3332.30
Draft Beer,Monday Night Dr. Robot,6.29,499.00,3141.00,109.46,3031.54
Shareables,Korean BBQ Pork Nachos,17.26,473.50,8174.81,325.40,7849.41
Liquor,Kraken Black Spiced Rum,6.13,488.00,2991.00,230.22,2760.78
Wine,Ecco Domani Pinot Grigio 6,10.00,465.00,4650.00,164.87,4485.13
Bottle Beer,Miller High Life btl,4.00,472.00,1888.00,21.50,1866.50
Salads,Caesar Salad w Steak,14.44,467.00,6745.00,520.29,6224.71
Liquor,HH Teremana Blanco,6.26,470.00,2942.00,93.41,2848.59
Add-ons,Side of Honey Mustard*,0.50,464.00,232.00,2.48,229.52
Local Favorites,HH Pepperoni Pizza,8.48,443.67,3763.82,565.57,3198.25
Burgers,NEW - The Biggy BBQ Mac Burger,17.13,449.00,7690.10,958.80,6731.30
Liquor,Woodford Reserve Bourbon,16.07,448.00,7199.00,85.12,7113.88
Salads,Caesar Salad w Shrimp,13.28,443.00,5883.35,576.76,5306.59
Draft Beer,Creature Comforts Fall,6.50,444.00,2884.00,96.50,2787.50
Baskets,Hand-Breaded Boneless Wings (Lunch),10.27,421.00,4324.00,275.12,4048.88
Draft Beer,Scofflaw POG Basement,6.78,434.00,2943.00,61.32,2881.68
Draft Beer,Terrapin Hopsecutioner,6.54,434.00,2840.00,103.37,2736.63
Wine,Mimosa GL,7.43,421.00,3130.00,105.11,3024.89
Salads,Caesar Salad (No Protein),10.64,421.00,4480.96,392.58,4077.88
Liquor,Classic Bloody Mary,10.27,426.00,4375.00,68.60,4306.40
N/A Beverage,Dont Mock the Dragon,7.56,425.00,3212.50,117.18,3095.32
Shareables,Chicken Potstickers,11.82,408.00,4821.10,354.74,4466.36
Liquor,Bucket - (5) Miller Lite,15.03,357.00,5365.00,131.03,5233.97
Draft Beer,Creature Comforts Automatic,6.17,414.00,2555.99,87.86,2468.13
Wine,HH CR Cabernet 6,5.01,417.00,2088.00,19.41,2068.59
Draft Beer,Reformation A Cold One 971 Pilsner,5.06,408.00,2066.00,55.35,2010.65
Salads,Tap Salad (No Protein),12.56,406.00,5098.02,469.47,4628.55
Wine,HH CAVIT Pinot G 6,5.00,407.00,2035.00,58.09,1976.91
Draft Beer,Scofflaw Basement,6.75,404.00,2729.00,43.14,2685.86
Bottle Beer,Angry Orchard Crisp Apple Cider btl,5.78,386.00,2232.00,223.86,2008.14
Bottle Beer,Corona Light btl,6.05,392.00,2370.00,33.15,2336.85
Bottle Beer,Mom Water btl,8.00,404.00,3232.00,271.35,2960.65
Wine,CAVIT Pinot Grigio 6,8.02,379.00,3038.00,96.34,2941.66
Shareables,Chips & House Made Guacamole,9.55,370.00,3534.47,114.17,3420.30
Liquor,Teremana Blanco Tequila,10.38,393.00,4078.75,411.38,3667.37
Draft Beer,Monday Night Drafty Kilt,7.07,375.00,2651.00,75.78,2575.22
Tacos,HH Chicken Tacos,9.15,372.00,3403.58,258.86,3144.72
Liquor,Casamigos Reposado Tequila,13.22,414.00,5474.00,315.78,5158.22
Liquor,Captain Morgan Spiced Rum,7.45,367.00,2733.50,30.79,2702.71
Salads,Tap Salad with Chicken (Lunch),10.10,352.00,3554.50,57.20,3497.30
Draft Beer,Victory Sour Monkey,5.93,347.00,2056.00,40.44,2015.56
Wings,20 Chicken Wings,30.07,339.00,10194.51,315.85,9878.66
Draft Beer,Victory Golden Monkey,5.69,348.00,1981.00,45.00,1936.00
Shareables,NEW - Onion Rings,10.04,324.00,3252.48,161.51,3090.97
Liquor,Don Julio Blanco Tequila,12.53,443.00,5551.00,497.20,5053.80
N/A Beverage,Athletic Free Wave Hazy IPA can,5.45,341.00,1857.00,44.28,1812.72
Draft Beer,Sweetwater Blue,5.25,338.00,1774.00,49.56,1724.44
Wings,Wednesday Wing Basket,10.07,347.00,3495.50,67.12,3428.38
Draft Beer,New Holland Dragons Milk,7.07,337.00,2384.00,65.73,2318.27
Wine,HH Sangria Red,5.54,331.00,1834.00,18.83,1815.17
Wine,Madria Sangria Red,8.50,328.00,2788.00,112.10,2675.90
Shareables,NEW - Jalapeno & Cheese Pretzel,11.08,320.00,3545.75,211.41,3334.34
Shareables,NEW - Everything Bagel Pretzel,11.25,321.00,3609.95,177.64,3432.31
Liquor,Sparkling Paloma Cocktail,10.51,323.00,3395.50,88.32,3307.18
Liquor,LHH Green Tea,4.51,693.00,3123.00,382.21,2740.79
Bottle Beer,Dos Equis Special Lager btl,5.00,335.00,1675.00,19.45,1655.55
Shareables,Chips & Salsa,7.01,305.00,2137.25,47.46,2089.79
Draft Beer,Atlanta Peach Cider,5.35,312.00,1668.00,33.73,1634.27
Add-ons,Side of Queso*,1.00,303.00,303.00,44.53,258.47
Draft Beer,Labatt Blue,4.65,313.00,1457.00,41.00,1416.00
Liquor,Green Tea Shot,8.77,338.00,2963.00,231.44,2731.56
Wine,Freakshow Cabernet Sauvignon 6,12.00,301.50,3618.00,116.41,3501.59
Draft Beer,North Coast Old Rasputin Nitro,6.58,305.00,2008.00,57.92,1950.08
Salads,Tap Salad with Shrimp,15.21,304.00,4623.50,261.94,4361.56
Wings,10 Boneless Wings,17.31,299.00,5176.50,174.24,5002.26
Add-ons,Side of Queso,1.02,300.00,305.70,73.61,232.09
Burgers,Monday Cheeseburger,9.42,301.00,2834.00,135.31,2698.69
Draft Beer,Wild Leap LMN ADE Blueberry,4.66,251.00,1169.03,107.50,1061.53
N/A Beverage,Athletic Upside Dawn Golden Ale can,5.43,296.00,1608.50,37.30,1571.20
Shareables,Pizza Fritta,8.00,287.00,2294.63,54.28,2240.35
Sides,Side Coleslaw,2.97,299.00,888.80,113.62,775.18
Add-ons,Side of Salsa,0.51,292.00,147.70,10.85,136.85
Draft Beer,Bearded Iris Flamingo Road,4.33,284.00,1231.00,60.68,1170.32
Liquor,Herradura Reposado Tequila,14.65,333.00,4880.00,484.23,4395.77
Draft Beer,Reformation Oktoberfest,6.25,282.00,1762.00,28.00,1734.00
Draft Beer,Gate City Copperhead Amber,6.34,270.00,1712.99,91.45,1621.54
Draft Beer,Allagash Haunted House,5.06,280.00,1417.00,44.22,1372.78
Bottle Beer,Bold Rock Blackberry btl,5.88,277.00,1630.00,47.50,1582.50
Draft Beer,Dive Beer,3.11,281.00,874.00,49.42,824.58
Draft Beer,Founders Nitro Breakfast Stout,6.03,283.00,1707.00,77.00,1630.00
Draft Beer,Moody Tongue Aperitif Pilsner,7.07,272.00,1923.00,89.47,1833.53
Draft Beer,Ace Pineapple Cider,5.59,282.00,1576.00,119.31,1456.69
Liquor,Lalo Blanco Tequila,14.31,295.00,4221.00,669.40,3551.60
Draft Beer,New Belgium Voodoo Ranger Juicy Haze,5.71,273.00,1560.00,17.34,1542.66
Liquor,Herradura Silver Tequila,13.31,288.00,3834.00,250.70,3583.30
Add-ons,Side of Buffalo Sauce*,0.50,269.00,134.50,3.42,131.08
Sides,Side Onion Rings,5.02,267.00,1341.00,78.81,1262.19
Draft Beer,Cherry Street Coconut Porter,6.53,268.00,1749.00,55.05,1693.95
Liquor,Skrewball Peanut Butter Whiskey,8.14,273.00,2223.00,21.81,2201.19
Wine,Canyon Road Cabernet 6,7.57,262.00,1983.00,44.16,1938.84
Wine,HH CR Chardonnay 6,5.01,264.00,1323.00,15.00,1308.00
Liquor,Don Julio Reposado,15.14,278.00,4209.50,395.33,3814.17
N/A Beverage,Ginger Ale,3.50,256.00,896.00,25.01,870.99
Draft Beer,Sierra Nevada Celebration,5.60,256.00,1433.00,24.40,1408.60
Draft Beer,Highland Gaelic Ale,5.30,255.00,1352.00,20.64,1331.36
Draft Beer,Highland Pilsner,6.45,256.00,1650.00,17.54,1632.46
Draft Beer,Sierra Nevada Pale Ale,5.80,255.00,1479.00,9.73,1469.27
Wine,Canyon Road Chardonnay 6,8.00,239.00,1912.00,38.54,1873.46
Draft Beer,Fire Maker Calamity Jane Blonde Ale,5.40,248.00,1338.00,36.60,1301.40
Draft Beer,Three Taverns Juiced on Ponce,6.31,247.00,1559.00,44.59,1514.41
Add-ons,Side of Bleu Cheese Dressing,0.50,242.00,121.21,6.34,114.87
Draft Beer,Sierra Nevada Sunny Little Thing,5.48,249.00,1364.00,37.16,1326.84
Draft Beer,Terrapin Watermelon Gose,5.84,247.00,1443.00,75.56,1367.44
Add-ons,Side of Salsa*,0.51,237.00,120.00,6.13,113.87
