Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Liquor,78324.5,702935.02,40881.26,30.0,743846.28,67773.41
Draft Beer,138109.5,784801.58,26435.62,8.0,811245.2,75263.31
Bottle Beer,21884.0,116434.76,4347.97,4.0,120786.73,11232.02
Wine,9380.5,83632.85,3002.81,0.0,86635.66,8079.94
Shareables,38872.0,413183.74,20245.39,11.0,433440.13,24787.55
Wings,23242.0,349752.4,16270.04,27.0,366049.44,20981.7
Tacos,9813.0,115229.68,9229.97,0.0,124459.65,6905.03
Baskets,14179.0,204793.61,12972.11,0.0,217765.72,12276.3
Burgers,18644.0,251424.28,15890.68,0.0,267314.96,15087.52
Sandwiches,18537.0,244244.97,18298.88,25.5,262569.35,14636.13
Salads,8391.0,99499.89,6897.68,10.5,106408.07,5970.35
Sides,12485.0,45787.31,3935.03,7.75,49730.09,2726.48
Desserts,2300.0,19585.19,2619.68,0.0,22204.87,1173.66
Local Favorites,1977.67,14395.28,2052.91,0.0,16448.19,863.9
N/A Beverage,20256.0,67081.22,1508.43,0.0,68589.65,4058.07
Add-ons,11790.0,7828.41,657.83,1.0,8487.24,460.37
Retail,253.0,3575.46,136.97,0.0,3712.43,154.52
Breakfast,1457.0,16293.85,1516.4,0.0,17810.25,977.68
Catering,75.0,3399.0,305.0,0.0,3704.0,203.94
Custom Amount Refunds,0.0,-382.41,0.0,382.41,0.0,0.0
Entrees,28.0,218.0,9.0,0.0,227.0,13.08
Food,2562.0,7619.54,1666.52,0.0,9286.06,446.41
LTO,849.0,9533.05,1219.45,0.0,10752.5,571.91
No Sales Category Assigned,21.0,115.49,0.11,0.0,115.6,5.1
Pizza,11673.0,154686.69,15306.07,0.0,169992.76,9279.07
Total,445103.17,3715668.86,205405.81,507.16,3921581.83,283927.45
